ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B001CH0ZLE,https://www.amazon.com/dp/B001CH0ZLE,https://www.amazon.ca/dp/B001CH0ZLE,21.99,60.28,38.29,174.12
B074FG7RJQ,https://www.amazon.com/dp/B074FG7RJQ,https://www.amazon.ca/dp/B074FG7RJQ,7.99,21.9,13.91,174.09
B09QXW1DHK,https://www.amazon.com/dp/B09QXW1DHK,https://www.amazon.ca/dp/B09QXW1DHK,12.79,34.79,22.0,172.01
B00HWEIKZO,https://www.amazon.com/dp/B00HWEIKZO,https://www.amazon.ca/dp/B00HWEIKZO,23.99,62.76,38.77,161.61
B07RY765XD,https://www.amazon.com/dp/B07RY765XD,https://www.amazon.ca/dp/B07RY765XD,4.99,12.99,8.0,160.32
B0B2K47S1T,https://www.amazon.com/dp/B0B2K47S1T,https://www.amazon.ca/dp/B0B2K47S1T,59.89,149.99,90.1,150.44
B09MFDXZHJ,https://www.amazon.com/dp/B09MFDXZHJ,https://www.amazon.ca/dp/B09MFDXZHJ,9.99,24.99,15.0,150.15
B09XF248DN,https://www.amazon.com/dp/B09XF248DN,https://www.amazon.ca/dp/B09XF248DN,8.99,21.49,12.5,139.04
B078YBZPH3,https://www.amazon.com/dp/B078YBZPH3,https://www.amazon.ca/dp/B078YBZPH3,8.89,20.69,11.8,132.73
B09TZJZZPZ,https://www.amazon.com/dp/B09TZJZZPZ,https://www.amazon.ca/dp/B09TZJZZPZ,34.99,79.99,45.0,128.61
B082KP92DF,https://www.amazon.com/dp/B082KP92DF,https://www.amazon.ca/dp/B082KP92DF,6.57,14.99,8.42,128.16
B01N20YR6B,https://www.amazon.com/dp/B01N20YR6B,https://www.amazon.ca/dp/B01N20YR6B,8.99,19.99,11.0,122.36
B0894HTQVZ,https://www.amazon.com/dp/B0894HTQVZ,https://www.amazon.ca/dp/B0894HTQVZ,4.99,10.99,6.0,120.24
B08PP48979,https://www.amazon.com/dp/B08PP48979,https://www.amazon.ca/dp/B08PP48979,22.37,47.99,25.62,114.53
B0BNQ56MH5,https://www.amazon.com/dp/B0BNQ56MH5,https://www.amazon.ca/dp/B0BNQ56MH5,27.98,59.99,32.01,114.4
B07P5NBRL5,https://www.amazon.com/dp/B07P5NBRL5,https://www.amazon.ca/dp/B07P5NBRL5,13.59,28.99,15.4,113.32
B07WT6K984,https://www.amazon.com/dp/B07WT6K984,https://www.amazon.ca/dp/B07WT6K984,27.99,58.99,31.0,110.75
B08R9LK9K3,https://www.amazon.com/dp/B08R9LK9K3,https://www.amazon.ca/dp/B08R9LK9K3,88.88,185.82,96.94,109.07
B07SH6JNXN,https://www.amazon.com/dp/B07SH6JNXN,https://www.amazon.ca/dp/B07SH6JNXN,11.99,24.99,13.0,108.42
B0B56CHMSC,https://www.amazon.com/dp/B0B56CHMSC,https://www.amazon.ca/dp/B0B56CHMSC,12.59,25.99,13.4,106.43
B0C96V481G,https://www.amazon.com/dp/B0C96V481G,https://www.amazon.ca/dp/B0C96V481G,4.19,8.47,4.28,102.15
B07QVWJ6VN,https://www.amazon.com/dp/B07QVWJ6VN,https://www.amazon.ca/dp/B07QVWJ6VN,6.98,13.99,7.01,100.43
B08BZFRQLS,https://www.amazon.com/dp/B08BZFRQLS,https://www.amazon.ca/dp/B08BZFRQLS,9.98,19.99,10.01,100.3
B08F3N436X,https://www.amazon.com/dp/B08F3N436X,https://www.amazon.ca/dp/B08F3N436X,4.99,9.99,5.0,100.2
B083BMMQV9,https://www.amazon.com/dp/B083BMMQV9,https://www.amazon.ca/dp/B083BMMQV9,6.99,13.99,7.0,100.14
B09VC2TWQ8,https://www.amazon.com/dp/B09VC2TWQ8,https://www.amazon.ca/dp/B09VC2TWQ8,39.99,79.99,40.0,100.03
B09KHBBCKW,https://www.amazon.com/dp/B09KHBBCKW,https://www.amazon.ca/dp/B09KHBBCKW,79.99,159.99,80.0,100.01
B06Y2GZWCJ,https://www.amazon.com/dp/B06Y2GZWCJ,https://www.amazon.ca/dp/B06Y2GZWCJ,19.99,39.96,19.97,99.9
B06XPFW75C,https://www.amazon.com/dp/B06XPFW75C,https://www.amazon.ca/dp/B06XPFW75C,11.01,21.99,10.98,99.73
B01D58DRVC,https://www.amazon.com/dp/B01D58DRVC,https://www.amazon.ca/dp/B01D58DRVC,7.97,15.87,7.9,99.12
B0113UZJE2,https://www.amazon.com/dp/B0113UZJE2,https://www.amazon.ca/dp/B0113UZJE2,9.99,19.64,9.65,96.6
B005KDEIZ0,https://www.amazon.com/dp/B005KDEIZ0,https://www.amazon.ca/dp/B005KDEIZ0,8.47,16.53,8.06,95.16
B07PFYT8MC,https://www.amazon.com/dp/B07PFYT8MC,https://www.amazon.ca/dp/B07PFYT8MC,4.79,9.33,4.54,94.78
B01IE7P2VW,https://www.amazon.com/dp/B01IE7P2VW,https://www.amazon.ca/dp/B01IE7P2VW,9.99,18.99,9.0,90.09
B07KFDML8G,https://www.amazon.com/dp/B07KFDML8G,https://www.amazon.ca/dp/B07KFDML8G,8.99,16.99,8.0,88.99
B0751VFF2P,https://www.amazon.com/dp/B0751VFF2P,https://www.amazon.ca/dp/B0751VFF2P,10.99,20.77,9.78,88.99
B0B313Q18J,https://www.amazon.com/dp/B0B313Q18J,https://www.amazon.ca/dp/B0B313Q18J,7.99,14.99,7.0,87.61
B07DM86Z43,https://www.amazon.com/dp/B07DM86Z43,https://www.amazon.ca/dp/B07DM86Z43,31.99,59.97,27.98,87.46
B08DHC73P6,https://www.amazon.com/dp/B08DHC73P6,https://www.amazon.ca/dp/B08DHC73P6,8.99,16.75,7.76,86.32
B00006JSUA,https://www.amazon.com/dp/B00006JSUA,https://www.amazon.ca/dp/B00006JSUA,19.9,36.97,17.07,85.78
B073P52PPR,https://www.amazon.com/dp/B073P52PPR,https://www.amazon.ca/dp/B073P52PPR,11.99,22.08,10.09,84.15
B01IX0ZS9G,https://www.amazon.com/dp/B01IX0ZS9G,https://www.amazon.ca/dp/B01IX0ZS9G,13.59,24.99,11.4,83.89
B0C37DLHWW,https://www.amazon.com/dp/B0C37DLHWW,https://www.amazon.ca/dp/B0C37DLHWW,5.99,10.99,5.0,83.47
B08C96BG9H,https://www.amazon.com/dp/B08C96BG9H,https://www.amazon.ca/dp/B08C96BG9H,82.99,149.98,66.99,80.72
B087PBHCV7,https://www.amazon.com/dp/B087PBHCV7,https://www.amazon.ca/dp/B087PBHCV7,9.99,17.99,8.0,80.08
B07Y51PCW7,https://www.amazon.com/dp/B07Y51PCW7,https://www.amazon.ca/dp/B07Y51PCW7,9.99,17.98,7.99,79.98
